Lemma,Rank,SFI,U
ago,300,66.39,435.54
become,369,66.36,432.59
area,204,66.36,432.16
night,199,66.34,430.25
laugh,80,66.33,429.52
name,223,66.31,427.54
idea,233,66.27,423.32
hour,239,66.23,419.56
term,249,66.23,419.61
remember,169,66.22,418.41
deal,290,66.19,416.22
program,347,66.18,414.98
whole,211,66.14,411.34
begin,375,66.11,408.01
company,374,66.07,404.26
against,430,66.05,402.64
hard,265,66.04,401.92
early,313,66.03,400.76
love,267,66.03,400.43
side,240,65.94,392.82
plan,277,65.93,391.31
enough,241,65.92,390.5
far,253,65.92,391.19
vote,624,65.91,389.99
word,226,65.91,389.55
buy,192,65.86,385.9
ever,242,65.84,383.39
set,255,65.84,383.71
system,329,65.82,381.55
build,273,65.82,382.22
real,259,65.81,381.39
test,172,65.81,381.36
close,324,65.79,379.41
guy,263,65.78,378.57
six,165,65.75,375.92
since,336,65.71,372.38
minute,213,65.65,367.42
hope,320,65.64,366.75
line,323,65.64,366.18
student,216,65.64,366.73
else,189,65.63,365.35
business,351,65.6,362.91
person,287,65.57,360.43
pretty,235,65.57,360.72
while,308,65.52,356.46
second,260,65.52,356.37
reason,281,65.51,355.98
everything,212,65.5,354.76
under,327,65.49,353.85
spend,303,65.48,352.99
lose,344,65.45,350.87
open,288,65.43,349.14
young,366,65.41,347.45
public,405,65.4,346.9
car,219,65.39,346.14
half,205,65.37,344.09
stuff,160,65.36,343.39
each,264,65.32,340.53
care,314,65.31,339.39
together,270,65.31,339.93
sit,220,65.29,338.01
certainly,306,65.28,337.31
support,377,65.26,335.78
such,318,65.26,335.57
hundred,154,65.25,335.1
war,567,65.22,332.65
win,509,65.2,330.98
nice,152,65.17,329.2
least,326,65.14,326.79
news,602,65.12,325.32
percent,387,65.11,324.63
hold,359,65.08,322.31
hand,293,65.08,322.12
friend,272,65.07,321.42
already,286,65.05,319.99
watch,275,65.05,319.82
send,279,65.05,320
million,538,65.04,319.28
once,289,65.04,318.96
example,295,65.03,318.74
morning,228,65.03,318.59
somebody,236,65.03,318.08
stop,292,65.02,317.7
sense,355,65.01,316.71
member,370,65.01,316.67
couple,266,64.99,315.41
city,540,64.94,311.82
black,544,64.94,312.17
small,322,64.91,309.71
stay,304,64.86,306.33
nothing,257,64.86,306.03
concern,335,64.85,305.18
continue,465,64.84,304.62
exactly,299,64.8,302.25
yet,282,64.79,301.48
guess,217,64.79,301.12
community,504,64.75,298.24
someone,328,64.75,298.25
past,363,64.74,297.75
head,378,64.74,298.15
break,349,64.69,294.69
until,319,64.69,294.61
must,229,64.69,294.58
top,334,64.66,292.29
market,493,64.64,290.99
matter,317,64.64,290.98
information,297,64.63,290.67
record,413,64.61,289.07
without,364,64.59,287.43
expect,385,64.59,287.64
force,576,64.58,286.84
level,321,64.58,287.38
lead,545,64.57,286.69
learn,365,64.57,286.41
include,477,64.56,285.62
answer,302,64.55,285.04
whatever,218,64.55,285.37
process,358,64.54,284.73
large,458,64.46,279.3
party,464,64.46,279.21
stand,356,64.46,279.07
cause,296,64.45,278.5
law,584,64.43,277.05
clear,310,64.43,277.61
agree,350,64.42,276.43
listen,446,64.41,276.37
mind,261,64.41,276.07
almost,426,64.39,274.93
moment,361,64.39,274.88
policy,417,64.38,274.03
thousand,247,64.38,274.26
during,455,64.37,273.34
everybody,309,64.34,271.56
situation,389,64.31,269.81
wait,285,64.26,266.83
game,496,64.24,265.3
grow,471,64.23,265.06
walk,283,64.23,264.69
less,406,64.19,262.61
experience,444,64.19,262.37
cut,360,64.18,261.55
water,346,64.17,260.93
sound,340,64.17,260.97
eight,208,64.17,261.13
across,414,64.15,259.98
decide,383,64.14,259.44
either,284,64.12,258.08
face,486,64.11,257.39
order,338,64.1,256.92
service,342,64.09,256.18
music,573,64.07,255.2
involve,390,64.04,253.65
parent,348,64.02,252.5
cost,330,63.99,250.9
power,619,63.96,248.87
sometimes,332,63.96,248.84
phone,325,63.93,247.29
price,476,63.88,244.2
health,502,63.88,244.22
allow,440,63.87,244.06
drive,354,63.86,243.39
decision,447,63.85,242.86
obviously,280,63.85,242.87
absolutely,415,63.84,241.86
kill,650,63.83,241.78
view,382,63.83,241.3
along,392,63.82,241.12
seven,234,63.79,239.44
study,526,63.76,237.72
suppose,227,63.73,236.13
basically,357,63.71,234.75
pick,315,63.71,235.08
room,301,63.65,231.98
team,580,63.64,231.11
sell,395,63.64,230.97
office,482,63.63,230.6
wrong,343,63.63,230.43
rather,305,63.61,229.51
within,352,63.6,229.19
fall,470,63.59,228.73
perhaps,312,63.59,228.75
follow,443,63.57,227.54
base,460,63.52,225.15
figure,400,63.51,224.51
certain,397,63.5,223.75
ten,210,63.5,223.86
low,488,63.47,222.31
national,628,63.46,221.7
easy,345,63.44,220.62
difficult,418,63.41,219.04
die,501,63.35,216.42
local,398,63.32,214.62
train,371,63.31,214.09
create,721,63.3,213.75
dollar,437,63.3,213.8
control,549,63.29,213.36
tomorrow,341,63.29,213.32
raise,511,63.28,212.63
movie,653,63.26,211.9
difference,428,63.26,211.65
anyway,190,63.25,211.17
rate,571,63.21,209.27
white,589,63.21,209.49
often,469,63.21,209.56
pass,466,63.18,208.11
provide,422,63.18,207.98
general,472,63.17,207.45
food,500,63.14,206.11
sign,485,63.13,205.56
worry,407,63.09,203.89
